"","lat","lon","grid_id","EpiDist","VS30"
"333",32.6,-121.2,333,305.544048114464,600
"369",32.6,-121,369,290.668546396233,600
"405",32.6,-120.8,405,276.244809754242,600
"441",32.6,-120.6,441,262.347419887949,600
"477",32.6,-120.4,477,249.064555784327,600
"513",32.6,-120.2,513,236.499836578044,600
"549",32.6,-120,549,224.773776338062,600
"585",32.6,-119.8,585,214.024312683669,600
"621",32.6,-119.6,621,204.405620769954,600
"657",32.6,-119.4,657,196.08421544973,600
"693",32.6,-119.2,693,189.231350393491,600
"729",32.6,-119,729,184.011197560975,600
"765",32.6,-118.8,765,180.565437764865,600
"801",32.6,-118.6,801,178.996586769449,600
"837",32.6,-118.4,837,179.353910444011,600
"873",32.6,-118.2,873,181.626039409231,600
"909",32.6,-118,909,185.742709263952,600
"945",32.6,-117.8,945,191.585038987617,600
"981",32.6,-117.6,981,199.001078902463,600
"1017",32.6,-117.4,1017,207.822400293962,600
"1053",32.6,-117.2,1053,217.878351110958,600
"1089",32.6,-117,1089,229.006312234273,464
"1125",32.6,-116.8,1125,241.05782951123,762
"1161",32.6,-116.6,1161,253.901385038433,520
"1197",32.6,-116.4,1197,267.422841238865,327
"1233",32.6,-116.2,1233,281.524491279636,328
"1269",32.6,-116,1269,296.123410476436,618
"1305",32.6,-115.8,1305,311.149562054895,395
"1341",32.6,-115.6,1341,326.54392148345,180
"1377",32.6,-115.4,1377,342.256754506932,203
"1413",32.6,-115.2,1413,358.246104163345,201
"1449",32.6,-115,1449,374.476496805022,213
"1485",32.6,-114.8,1485,390.917853964148,215
"1521",32.6,-114.6,1521,407.544586833097,216
"1557",32.6,-114.4,1557,424.334847334701,283
"1593",32.6,-114.2,1593,441.269910681576,302
"1629",32.6,-114,1629,458.33366691432,346
"10",32.8,-123,10,443.256291132959,600
"46",32.8,-122.8,46,425.928985795917,600
"82",32.8,-122.6,82,408.711221446635,600
"118",32.8,-122.4,118,391.617514780824,600
