field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
796,31.6,-118.6,796,289.8491175,600,3.637696981,,
832,31.6,-118.4,832,290.072385,600,3.637160063,,
868,31.6,-118.2,868,291.4984467,600,3.632569313,,
904,31.6,-118,904,294.109802,600,3.624018431,,
940,31.6,-117.8,940,297.8752703,600,3.611677408,,
976,31.6,-117.6,976,302.7517786,600,3.595778465,,
1012,31.6,-117.4,1012,308.6866591,600,3.576596975,,
1048,31.6,-117.2,1048,315.6201922,600,3.554430008,,
1084,31.6,-117,1084,323.488146,600,3.529577255,,
1120,31.6,-116.8,1120,332.224111,600,3.502335787,,
1156,31.6,-116.6,1156,341.7615004,900,3.280664921,,
1192,31.6,-116.4,1192,352.0351504,601,3.441185951,,
1228,31.6,-116.2,1228,362.982515,673,3.354469538,,
1264,31.6,-116,1264,374.5444863,288,3.716045857,,
1300,31.6,-115.8,1300,386.665895,337,3.60885787,,
1336,31.6,-115.6,1336,399.2957545,900,3.111244679,,
1372,31.6,-115.4,1372,412.3873082,717,3.182140112,,
1408,31.6,-115.2,1408,425.8979376,412,3.40642643,,
1444,31.6,-115,1444,439.7889753,180,3.750421524,,
1480,31.6,-114.8,1480,454.0254586,600,3.153011322,,
1516,31.6,-114.6,1516,468.5758534,600,3.114969015,,
1552,31.6,-114.4,1552,483.4117647,600,3.077053785,,
1588,31.6,-114.2,1588,498.5076506,242,3.461396694,,
1624,31.6,-114,1624,513.8405468,240,,,
5,31.8,-123,5,495.4431323,600,,,
41,31.8,-122.8,41,479.8269534,600,,,
77,31.8,-122.6,77,464.4369518,600,3.142739296,,
113,31.8,-122.4,113,449.2964289,600,3.181586027,,
149,31.8,-122.2,149,434.4315271,600,3.220223665,,
185,31.8,-122,185,419.8715779,600,3.258566618,,
221,31.8,-121.8,221,405.6494753,600,3.296542645,,
257,31.8,-121.6,257,391.8020658,600,3.334193945,,
293,31.8,-121.4,293,378.370543,600,3.371185064,,
329,31.8,-121.2,329,365.4008229,600,3.407347679,,
365,31.8,-121,365,352.9438687,600,3.442486525,,
401,31.8,-120.8,401,341.0559183,600,3.476375818,,
437,31.8,-120.6,437,329.7985538,600,3.508759975,,
473,31.8,-120.4,473,319.2385344,600,3.539542198,,
509,31.8,-120.2,509,309.4473,600,3.570356846,,
545,31.8,-120,545,300.5000453,600,3.599696159,,
581,31.8,-119.8,581,292.4742705,600,3.626496792,,
617,31.8,-119.6,617,285.4477424,600,3.650372982,,
653,31.8,-119.4,653,279.4958609,600,3.670935631,,
689,31.8,-119.2,689,274.6885123,600,3.687809229,,
725,31.8,-119,725,271.0866116,600,3.700653791,,
761,31.8,-118.8,761,268.738646,600,3.709187508,,
797,31.8,-118.6,797,267.6776234,600,3.713209391,,
833,31.8,-118.4,833,267.9188378,600,3.712618351,,
869,31.8,-118.2,869,269.4587911,600,3.707427502,,
905,31.8,-118,905,272.2754423,600,3.697766542,,
941,31.8,-117.8,941,276.3297436,600,3.683870554,,
977,31.8,-117.6,977,281.5682232,600,3.666058302,,
1013,31.8,-117.4,1013,287.9262356,600,3.644701958,,
1049,31.8,-117.2,1049,295.3314624,600,3.620180845,,
1085,31.8,-117,1085,303.7072854,600,3.59283185,,
1121,31.8,-116.8,1121,312.9757605,600,3.562960625,,
1157,31.8,-116.6,1157,323.0600352,301,3.851449966,,
