,Unnamed: 0,lat,lon,grid_id,EpiDist,VS30,siteterm,MMI_st,MMI,dff
195,401,31.8,-120.8,401,341.0559183,600,-0.0794,2.708929168,2.788329168,0.0794
196,437,31.8,-120.6,437,329.7985538,600,-0.0794,2.76933444,2.84873444,0.0794
197,473,31.8,-120.4,473,319.2385344,600,-0.0794,2.827112089,2.906512089,0.0794
198,509,31.8,-120.2,509,309.4473,600,-0.0794,2.881710575,2.961110575,0.0794
199,545,31.8,-120,545,300.5000453,600,-0.0794,2.93252133,3.01192133,0.0794
200,581,31.8,-119.8,581,292.4742705,600,-0.0794,2.978889382,3.058289382,0.0794
201,617,31.8,-119.6,617,285.4477424,600,-0.0794,3.020131258,3.099531258,0.0794
202,653,31.8,-119.4,653,279.4958609,600,-0.0794,3.055560884,3.134960884,0.0794
203,689,31.8,-119.2,689,274.6885123,600,-0.0794,3.08452301,3.16392301,0.0794
204,725,31.8,-119,725,271.0866116,600,-0.0794,3.106432127,3.185832127,0.0794
205,761,31.8,-118.8,761,268.738646,600,-0.0794,3.120813011,3.200213011,0.0794
206,797,31.8,-118.6,797,267.6776234,600,-0.0794,3.127337666,3.206737666,0.0794
207,833,31.8,-118.4,833,267.9188378,600,-0.0794,3.125852905,3.205252905,0.0794
208,869,31.8,-118.2,869,269.4587911,600,-0.0794,3.116393833,3.195793833,0.0794
209,905,31.8,-118,905,272.2754423,600,-0.0794,3.099180719,3.178580719,0.0794
210,941,31.8,-117.8,941,276.3297436,600,-0.0794,3.074599867,3.153999867,0.0794
211,977,31.8,-117.6,977,281.5682232,600,-0.0794,3.043171929,3.122571929,0.0794
212,1013,31.8,-117.4,1013,287.9262356,600,-0.0794,3.00551296,3.08491296,0.0794
213,1049,31.8,-117.2,1049,295.3314624,600,-0.0794,2.962293922,3.041693922,0.0794
214,1085,31.8,-117,1085,303.7072854,600,-0.0794,2.91420345,2.99360345,0.0794
215,1121,31.8,-116.8,1121,312.9757605,600,-0.0794,2.861917058,2.941317058,0.0794
216,1157,31.8,-116.6,1157,323.0600351,301,0.069801,2.955275227,2.885474227,0.069801
217,1193,31.8,-116.4,1193,333.8861646,836,-0.197164,2.62949931,2.82666331,0.197164
218,1229,31.8,-116.2,1229,345.3843581,562,-0.060438,2.704975296,2.765413296,0.060438
219,1265,31.8,-116,1265,357.4897337,599,-0.078901,2.623289961,2.702190961,0.078901
220,1301,31.8,-115.8,1301,370.1426816,362,0.039362,2.676763923,2.637401923,0.039362
221,1337,31.8,-115.6,1337,383.2889336,403,0.018903,2.590297246,2.571394246,0.018903
222,1373,31.8,-115.4,1373,396.8794269,437,0.001937,2.506400491,2.504463491,0.001937
223,1409,31.8,-115.2,1409,410.8700342,402,0.019402,2.456260439,2.436858439,0.019402
224,1445,31.8,-115,1445,425.2212155,200,0.1202,2.488986914,2.368786914,0.1202
225,1481,31.8,-114.8,1481,439.897633,600,-0.0794,2.221021362,2.300421362,0.0794
226,1517,31.8,-114.6,1517,454.8677556,396,0.022396,2.254299988,2.231903988,0.022396
227,1553,31.8,-114.4,1553,470.103474,294,0.073294,2.236645361,2.163351361,0.073294
228,1589,31.8,-114.2,1589,485.5797361,295,0.072795,2.167653444,2.094858444,0.072795
229,1625,31.8,-114,1625,501.2742094,274,0.083274,2.109776098,2.026502098,0.083274
230,6,32,-123,6,483.4276224,600,-0.0794,2.024916814,2.104316814,0.0794
231,42,32,-122.8,42,467.4461498,600,-0.0794,2.095825539,2.175225539,0.0794
232,78,32,-122.6,78,451.6699749,600,-0.0794,2.167040889,2.246440889,0.0794
233,114,32,-122.4,114,436.1214381,600,-0.0794,2.238495596,2.317895596,0.0794
234,150,32,-122.2,150,420.825832,600,-0.0794,2.31010332,2.38950332,0.0794
235,186,32,-122,186,405.8118162,600,-0.0794,2.381754443,2.461154443,0.0794
236,222,32,-121.8,222,391.1118792,600,-0.0794,2.453311048,2.532711048,0.0794
237,258,32,-121.6,258,376.7628419,600,-0.0794,2.524601026,2.604001026,0.0794
238,294,32,-121.4,294,362.8063964,600,-0.0794,2.595411251,2.674811251,0.0794
239,330,32,-121.2,330,349.2896596,600,-0.0794,2.665479867,2.744879867,0.0794
240,366,32,-121,366,336.2657122,600,-0.0794,2.734487851,2.813887851,0.0794
241,402,32,-120.8,402,323.7940741,600,-0.0794,2.802050209,2.881450209,0.0794
242,438,32,-120.6,438,311.9410457,600,-0.0794,2.867707495,2.947107495,0.0794
243,474,32,-120.4,474,300.7798153,600,-0.0794,2.930918724,3.010318724,0.0794
244,510,32,-120.2,510,290.3902049,600,-0.0794,2.991057279,3.070457279,0.0794
245,546,32,-120,546,280.8578999,600,-0.0794,3.047411942,3.126811942,0.0794
246,582,32,-119.8,582,272.2729944,600,-0.0794,3.099195629,3.178595629,0.0794
247,618,32,-119.6,618,264.7277074,600,-0.0794,3.145564502,3.224964502,0.0794
248,654,32,-119.4,654,258.3131847,600,-0.0794,3.185649514,3.265049514,0.0794
249,690,32,-119.2,690,253.1154336,600,-0.0794,3.218600922,3.298000922,0.0794
250,726,32,-119,726,249.2106191,600,-0.0794,3.243643623,3.323043623,0.0794
251,762,32,-118.8,762,246.6601677,600,-0.0794,3.260137829,3.339537829,0.0794
252,798,32,-118.6,798,245.5063022,600,-0.0794,3.267636467,3.347036467,0.0794
253,834,32,-118.4,834,245.768698,600,-0.0794,3.265929223,3.345329223,0.0794
254,870,32,-118.2,870,247.4428486,600,-0.0794,3.255064377,3.334464377,0.0794
255,906,32,-118,906,250.5004446,600,-0.0794,3.235343726,3.314743726,0.0794
256,942,32,-117.8,942,254.8916938,600,-0.0794,3.207291711,3.286691711,0.0794
257,978,32,-117.6,978,260.549158,600,-0.0794,3.171605265,3.251005265,0.0794
258,1014,32,-117.4,1014,267.3924581,600,-0.0794,3.129094053,3.208494053,0.0794
259,1050,32,-117.2,1050,275.333164,600,-0.0794,3.080620918,3.160020918,0.0794
260,1086,32,-117,1086,284.2793022,600,-0.0794,3.027050092,3.106450092,0.0794
261,1122,32,-116.8,1122,294.1391164,411,0.014911,3.063518396,3.048607396,0.014911
262,1158,32,-116.6,1158,304.8239245,432,0.004432,2.991685464,2.987253464,0.004432
263,1194,32,-116.4,1194,316.2500811,554,-0.056446,2.86662276,2.92306876,0.056446
264,1230,32,-116.2,1230,328.3401597,568,-0.063432,2.793216014,2.856648014,0.063432
265,1266,32,-116,1266,341.0235134,574,-0.066426,2.722075363,2.788501363,0.066426
266,1302,32,-115.8,1302,354.236378,702,-0.130298,2.588761776,2.719059776,0.130298
267,1338,32,-115.6,1338,367.9216649,341,0.049841,2.698523814,2.648682814,0.049841
268,1374,32,-115.4,1374,382.0285601,254,0.093254,2.670921332,2.577667332,0.093254
269,1410,32,-115.2,1410,396.5120183,180,0.13018,2.636436204,2.506256204,0.13018
270,1446,32,-115,1446,411.332214,180,0.13018,2.564826526,2.434646526,0.13018
271,1482,32,-114.8,1482,426.4539903,240,0.10024,2.463237011,2.362997011,0.10024
272,1518,32,-114.6,1518,441.8463324,285,0.077785,2.369219466,2.291434466,0.077785
273,1554,32,-114.4,1554,457.4818775,296,0.072296,2.292355358,2.220059358,0.072296
274,1590,32,-114.2,1590,473.3364713,275,0.082775,2.231725516,2.148950516,0.082775
275,1626,32,-114,1626,489.3887698,286,0.077286,2.15545508,2.07816908,0.077286
276,7,32.2,-123,7,472.1467805,600,-0.0794,2.074843997,2.154243997,0.0794
277,43,32.2,-122.8,43,455.8069427,600,-0.0794,2.148244502,2.227644502,0.0794
278,79,32.2,-122.6,79,439.6498992,600,-0.0794,2.222165333,2.301565333,0.0794
279,115,32.2,-122.4,115,423.6966249,600,-0.0794,2.296559697,2.375959697,0.0794
280,151,32.2,-122.2,151,407.9710867,600,-0.0794,2.371362987,2.450762987,0.0794
281,187,32.2,-122,187,392.5007195,600,-0.0794,2.446488185,2.525888185,0.0794
282,223,32.2,-121.8,223,377.3169713,600,-0.0794,2.52182022,2.60122022,0.0794
283,259,32.2,-121.6,259,362.4559235,600,-0.0794,2.59720906,2.67660906,0.0794
284,295,32.2,-121.4,295,347.9589832,600,-0.0794,2.672461386,2.751861386,0.0794
285,331,32.2,-121.2,331,333.8736394,600,-0.0794,2.747330698,2.826730698,0.0794
286,367,32.2,-121,367,320.2542597,600,-0.0794,2.821505827,2.900905827,0.0794
287,403,32.2,-120.8,403,307.1628849,600,-0.0794,2.89459806,2.97399806,0.0794
288,439,32.2,-120.6,439,294.6699479,600,-0.0794,2.966127403,3.045527403,0.0794
289,475,32.2,-120.4,475,282.8548027,600,-0.0794,3.035509104,3.114909104,0.0794
290,511,32.2,-120.2,511,271.8058983,600,-0.0794,3.102042365,3.181442365,0.0794
291,547,32.2,-120,547,261.6203767,600,-0.0794,3.164904183,3.244304183,0.0794
292,583,32.2,-119.8,583,252.4028224,600,-0.0794,3.223152395,3.302552395,0.0794
293,619,32.2,-119.6,619,244.2628776,600,-0.0794,3.275742835,3.355142835,0.0794
294,655,32.2,-119.4,655,237.3114876,600,-0.0794,3.321565417,3.400965417,0.0794
295,691,32.2,-119.2,691,231.6557,600,-0.0794,3.359502235,3.438902235,0.0794
296,727,32.2,-119,727,227.3922309,600,-0.0794,3.3885066,3.4679066,0.0794
297,763,32.2,-118.8,763,224.600399,600,-0.0794,3.407695691,3.487095691,0.0794
298,799,32.2,-118.6,799,223.3354107,600,-0.0794,3.416442688,3.495842688,0.0794
299,835,32.2,-118.4,835,223.6231832,600,-0.0794,3.414449931,3.493849931,0.0794
300,871,32.2,-118.2,871,225.4577697,600,-0.0794,3.401785908,3.481185908,0.0794
301,907,32.2,-118,907,228.8019586,600,-0.0794,3.378876616,3.458276616,0.0794
302,943,32.2,-117.8,943,233.5909106,600,-0.0794,3.346453547,3.425853547,0.0794
303,979,32.2,-117.6,979,239.7380436,600,-0.0794,3.305471295,3.384871295,0.0794
