,field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2,Delta_R
160,796,31.6,-118.6,796,289.8491175,600,3.6376969810000004,,,0.07940000000000014
161,832,31.6,-118.4,832,290.072385,600,3.637160063,,,0.07940000000000014
162,868,31.6,-118.2,868,291.4984467,600,3.6325693130000003,,,0.07939999999999969
163,904,31.6,-118.0,904,294.109802,600,3.624018431,,,0.07940000000000014
164,940,31.6,-117.8,940,297.8752703,600,3.6116774080000003,,,0.07940000000000014
165,976,31.6,-117.6,976,302.7517786,600,3.595778465,,,0.07940000000000014
166,1012,31.6,-117.4,1012,308.6866591,600,3.576596975,,,0.07940000000000014
167,1048,31.6,-117.2,1048,315.62019219999996,600,3.554430008,,,0.07940000000000014
168,1084,31.6,-117.0,1084,323.488146,600,3.529577255,,,0.07939999999999969
169,1120,31.6,-116.8,1120,332.224111,600,3.502335787,,,0.07939999999999969
170,1156,31.6,-116.6,1156,341.7615004,900,3.280664921,,,0.22909999999999942
171,1192,31.6,-116.4,1192,352.03515039999996,601,3.441185951,,,0.07989900000000061
172,1228,31.6,-116.2,1228,362.982515,673,3.354469538,,,0.1158269999999999
173,1264,31.6,-116.0,1264,374.5444863,288,3.7160458569999997,,,-0.07628800000000036
174,1300,31.6,-115.8,1300,386.66589500000003,337,3.60885787,,,-0.051837000000000355
175,1336,31.6,-115.6,1336,399.2957545,900,3.111244679,,,0.22909999999999986
176,1372,31.6,-115.4,1372,412.3873082,717,3.182140112,,,0.13778299999999977
177,1408,31.6,-115.2,1408,425.89793760000003,412,3.40642643,,,-0.014411999999999647
178,1444,31.6,-115.0,1444,439.78897530000006,180,3.7504215239999996,,,-0.13018000000000018
179,1480,31.6,-114.8,1480,454.02545860000004,600,3.153011322,,,0.07940000000000014
180,1516,31.6,-114.6,1516,468.57585339999997,600,3.114969015,,,0.07940000000000014
181,1552,31.6,-114.4,1552,483.4117647,600,3.077053785,,,0.07939999999999969
182,1588,31.6,-114.2,1588,498.50765060000003,242,3.461396694,,,-0.09924199999999983
183,1624,31.6,-114.0,1624,513.8405468000001,240,,,,
184,5,31.8,-123.0,5,495.4431323,600,,,,
185,41,31.8,-122.8,41,479.8269534,600,,,,
186,77,31.8,-122.6,77,464.43695180000003,600,3.1427392960000002,,,0.07939999999999969
187,113,31.8,-122.4,113,449.29642889999997,600,3.181586027,,,0.07940000000000014
188,149,31.8,-122.2,149,434.43152710000004,600,3.220223665,,,0.07940000000000014
189,185,31.8,-122.0,185,419.87157790000003,600,3.258566618,,,0.07940000000000014
190,221,31.8,-121.8,221,405.6494753,600,3.296542645,,,0.07940000000000014
191,257,31.8,-121.6,257,391.80206580000004,600,3.334193945,,,0.07940000000000014
192,293,31.8,-121.4,293,378.370543,600,3.3711850639999996,,,0.07940000000000014
193,329,31.8,-121.2,329,365.4008229,600,3.407347679,,,0.07939999999999969
194,365,31.8,-121.0,365,352.9438687,600,3.442486525,,,0.07939999999999969
195,401,31.8,-120.8,401,341.05591830000003,600,3.476375818,,,0.07940000000000014
196,437,31.8,-120.6,437,329.79855380000004,600,3.508759975,,,0.07939999999999969
197,473,31.8,-120.4,473,319.23853439999993,600,3.539542198,,,0.07939999999999969
198,509,31.8,-120.2,509,309.4473,600,3.570356846,,,0.07940000000000014
199,545,31.8,-120.0,545,300.5000453,600,3.5996961589999996,,,0.07939999999999969
200,581,31.8,-119.8,581,292.4742705,600,3.6264967919999997,,,0.07940000000000014
