,network,station,latitude,longitude,site_term
1563,,32207,35.271,-116.673,-0.030178470219205118
1564,,5439,34.0545,-118.2365,0.1273918132531278
1565,,HOPS,38.9935,-123.0723,0.608776169687005
1566,,44015,36.601,-118.06,-0.2725208207622815
1567,,44367,36.279,-118.007,-0.17994936221159347
1568,,FPC,35.082,-117.5827,-0.1601915408986114
1569,,RRS,33.8822,-117.3665,-1.0051203338158732
1570,,13097,33.604,-117.279,0.12617557542995214
1571,,13174,33.989000000000004,-117.89,-0.4555916848892638
1572,,13886,33.791,-117.968,0.2722001753215701
1573,,13887,33.676,-117.963,0.6016647283039619
1574,,14001,33.802,-118.215,1.1379437854051877
1575,,14002,33.785,-118.173,0.7084387156069005
1576,,14004,33.747,-118.26,0.8511958443757355
1577,,14005,33.759,-118.131,1.1350644059610502
1578,,14006,33.727,-118.001,0.5253134956068164
1579,,14007,33.723,-118.026,0.4397032039534218
1580,,14017,33.99,-118.312,0.3835790829936047
1581,,14027,33.929,-118.058,-0.3319788616489423
1582,,14035,33.993,-118.396,-0.7940934773269659
1583,,14037,33.797,-118.338,0.7560125354794007
1584,,14044,33.976,-118.354,0.4495835830619124
1585,,14050,33.834,-118.356,0.31130445070893753
1586,,14125,33.819,-118.159,0.9492219828459044
1587,,14175,33.931,-118.214,0.4894769251581785
1588,,14176,33.948,-118.184,0.7750692853101759
1589,,14221,33.888000000000005,-118.409,0.042816869776695264
1590,,14537,33.952,-118.335,-0.2640911266415597
1591,,14767,33.962,-118.378,-0.5393311156908756
1592,,14820,33.993,-118.342,0.11072815214595562
1593,,14821,33.968,-118.29,-0.4888126296994934
1594,,14822,33.945,-118.38,-0.536020433605721
1595,,14824,33.868,-118.289,0.4799181749233746
1596,,14825,33.976,-118.208,0.2847992647870827
1597,,14827,33.92,-118.126,0.29333238826492314
1598,,14829,33.883,-118.117,0.4937352276081043
1599,,14835,33.781,-118.261,0.5476334753415033
1600,,14845,33.79,-118.296,0.4910970004228279
1601,,14846,33.811,-118.276,0.5806477157313922
1602,,14847,33.827,-118.216,0.9019822125422208
1603,,14868,33.806,-118.163,0.5671315777097221
1604,,14871,33.763000000000005,-118.168,0.4681584443631056
1605,,14936,33.834,-118.161,0.8520451206063043
1606,,14985,33.991,-118.459,-0.9908814272627272
1607,,23084,34.033,-117.312,0.6111345264882798
1608,,23163,34.123000000000005,-117.54,-0.03666030061036853
1609,,24012,34.148,-118.371,-0.3795512305894587
1610,,24013,34.194,-118.589,-0.2467036089841693
1611,,24034,34.025,-118.231,-0.3597769766561019
1612,,24039,34.004,-118.287,-0.13633223785970913
1613,,24048,34.029,-118.483,0.05314034913486488
1614,,24289,34.055,-118.251,-0.4501994397284613
1615,,24806,34.222,-118.57,-0.24085977289705354
1616,,24811,34.084,-118.307,-0.08289745011974622
1617,,24850,34.032,-118.019,-0.2272732534533111
1618,,24852,34.024,-118.284,-0.7951714580048929
1619,,24978,34.044000000000004,-118.443,-0.10195629266746524
1620,,24984,34.021,-118.325,0.35458137264364564
1621,,24987,34.013000000000005,-118.257,-0.2701828271207589
1622,,5445,35.0613,-119.0279,0.3139864140148317
