StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
PB.B943,-1.2934010752061667,-1.5271307231535778,-1.3253406918438448,-1.273230734394409,-1.233605322359178,-1.4489153458209054,-1.3897514931493904,-1.3177401902239128,-1.1057366108698887,-1.0076213758391912,-0.7100227497579948
PO.VI01,,1.292346647912403,1.0735099823986856,0.8498955822598154,1.207325958072407,1.3654893035266482,1.2179986175713025,1.1084082030687532,1.2710256750707896,,
PO.VI02,,1.8606368933224608,0.3134696576306041,-0.04647995457443206,-0.039806916135168784,0.07083812862337453,-0.7613426471650441,-0.44875315704653096,-0.4937045081862923,-0.15319795407253217,
PO.VI04,1.1817245237070741,0.6746052191374293,-0.05937227517566984,-0.09795965999557835,-0.436491816107958,-0.6378988967399455,-0.7464089508788597,-0.550854061358176,-0.46221239212757287,,
PO.VI05,-0.16436730292908638,-0.30221764200283363,-0.5098833586755145,-0.41254086519050187,-0.6442121549616283,-0.6962715817285319,-0.7427528667406185,-0.8709294073718796,-0.7512354408876418,-0.6141975642311741,
PO.VI06,-0.2576338337441559,-0.30010521846818133,-0.7134677436720086,-0.694611009493151,-0.584206240823613,-0.4332237375209572,-0.7608182608299034,-0.5091865544811943,-0.7736428625712721,,
PO.VI56,,0.02602903053837414,-0.3968713912959442,-0.29651900972811074,-0.39452262032977714,-0.6542562985020305,-0.5924615698242816,-0.6075614918305119,-0.7475690759000337,-0.23907074845172732,
PO.VI57,,1.1478371730524048,1.5266724351752805,1.1985256719062498,0.8215744518943204,0.8265448915187015,0.7031578231426183,1.060381244123023,1.0575036522503645,0.5700379536517121,
TA.A04A,-1.5574271617733908,-0.9547522458510097,-0.8137094084844951,-0.7233967201109601,-0.8703771913148018,-0.4567518260489507,-0.4603764474451131,-0.29859957406446924,-0.5336668589432273,-0.4285852160820133,0.049227190201028025
TA.A05A,-0.11106837816774381,0.46343776374319673,0.13035006825423037,0.7171716575139128,0.48123440657025873,0.5475633559078696,0.7608742899696826,0.6054929635181469,0.8861457565310816,0.24348248684340243,0.18414674642593834
TA.A08A,2.9469068685058595,1.896099116703568,1.5476021523738153,1.173611875406973,0.7545364457431915,0.9600211368925574,0.788838525962736,0.3396087343511909,0.4052211873682058,-0.2040551805681483,-0.19420885183653114
