EarthquakeID,StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
uw10695763,XU.N060,-0.387450186,-0.696522406,-0.683961206,-2.186303744,-1.818431586,-1.54819736,-0.981893138,-0.690732405,-0.231155691,-0.239990729,-0.92537887
uw10695763,XU.N085,0.87722968,0.08835861,-0.784436537,-0.76180613,-1.172512031,-0.892989082,-0.134350016,-0.086786753,0.339847226,-0.545260229,-0.11249914
uw10695763,XU.N100,1.022051514,0.860462861,-0.278959145,-0.922980508,-0.997297216,-0.886331732,-0.491024906,-0.076978623,0.036232238,0.439852074,0.376107551
uw10695763,XU.N110,0.76534004,0.415421637,0.063973593,-0.793190185,-0.83920125,-0.437994232,-0.256058837,0.135322554,0.669408759,0.308857363,-0.256848527
uw10695763,XU.N120,1.878125968,2.291665294,1.721452905,0.548458177,-0.187345984,-0.269463222,-0.173481994,0.006853486,-0.046179952,-0.144297017,0.263308035
uw10695763,XU.S010,-0.428786313,0.029410474,-0.160793707,-0.154957239,-0.635927457,-0.189269796,0.017065861,0.46283412,0.355111063,1.164870896,1.536091711
uw10695763,XU.S015,,-1.155445048,-1.08632402,-1.348348046,-1.426563665,-0.907681247,-0.273267782,-0.190284257,0.521395393,0.153125445,1.495448727
uw10695763,XU.S020,0.830902691,0.267522814,-0.034938216,-0.764931201,-0.608316835,-0.112053328,-0.32430018,0.279946787,0.334169064,0.880652116,1.336321037
uw10695763,XU.S030,0.528587842,0.461521534,0.180897644,-0.675058043,-0.283712618,-0.166561562,0.676707213,0.857460648,0.402824007,0.95925062,0.646076734
uw10695763,XU.S040,0.768334423,0.624928351,-0.34676575,-1.152052475,-1.043397816,-0.904384405,-0.731233443,-0.668733887,-0.201846047,-0.493251203,-0.352301877
uw10695763,XU.S050,1.369830943,1.498987104,1.11222765,0.392220697,0.203704278,0.819395387,0.619427398,1.066859854,1.36115234,1.851754759,0.968687129
uw10695763,XU.S060,-0.347953246,-0.420646576,-0.820204198,-1.394367606,-1.437957685,-1.423229552,-1.240558223,-0.060070475,0.22921538,0.614818999,0.318634027
uw10695763,XU.S070,0.963512236,1.130808636,-0.063067934,-0.564495407,-0.573811791,-0.404817161,0.047673666,-0.026231045,0.469902033,1.162955746,0.351488214
uw10695763,XU.S080,0.536262119,-0.13694347,-0.785335356,-0.61603055,-0.174471544,-0.493876777,-0.534251277,-0.233332213,-0.139274947,-0.351000941,-0.137684278
uw10695763,XU.S090,1.019313019,2.444160059,0.937307381,0.313744875,-0.73181997,-0.136117724,0.798122888,0.188537518,-0.169815098,-0.407942324,-1.081760595
uw10695763,XU.S100,-0.980829639,-0.043407479,-0.202795801,-0.134642483,0.433956813,0.014200293,-0.003828809,0.318535546,0.057070404,0.413278201,0.492078703
uw10695763,XU.W020,-0.583410507,-0.645192616,-1.147111328,-1.590738916,-1.751390171,-1.635855638,-1.130415404,-1.002793951,-1.555903846,-1.279189725,
uw10695763,XU.W040,-0.919954304,-1.232631923,-1.309528967,-1.578636594,-1.923405721,-1.571034394,-1.338993942,-1.519632895,-1.268825329,-0.855607615,-1.28710226
uw10695763,XU.W060,1.399012122,1.455074011,0.897034338,-0.054937953,-0.554558911,-0.997613637,0.082337536,0.699403656,0.192765105,-0.085077758,0.510524156
uw10695763,XU.W070,0.489128845,1.09261608,0.115242478,-0.275322988,-1.378412291,-0.836802256,-0.954222308,-0.190539995,-0.439749288,-0.759496854,0.100832727
uw10695763,XU.W080,1.048012057,0.675596599,0.046580357,-0.66816491,-1.375739931,-0.80956022,-0.182629836,0.516232052,0.516560374,-1.015518194,0.318096963
uw10695763,XU.W090,-1.209747116,-1.168390135,-1.482300218,-1.557740985,-1.758113017,-1.426073465,-0.654194302,-0.328169078,0.37144058,0.844941274,0.884577121
uw10695763,XU.W100,0.096522443,0.065472869,0.556551089,-0.230291163,0.094449411,-0.221301019,0.869681181,1.050680704,0.855142831,0.901192386,0.536761798
uw10695763,XU.W110,0.504860661,0.89214489,0.779739109,0.13824947,-0.681077027,-0.497903008,0.980789142,0.856168559,1.000139765,1.515467792,1.544976988
uw10697073,CC.SEP,-2.419576754,-2.7048407,-3.084564975,-3.0693183,-3.657577467,-1.995708896,-1.543099419,-1.159494896,-0.663000533,,
uw10697073,CC.STD,-1.917724926,-1.804200279,-2.356263182,-1.776659993,-1.605077775,-0.997715326,-1.017397415,-0.354407744,0.845916352,-0.315424954,-1.221770516
uw10697073,PB.B018,,,,-4.707148251,-4.595093306,-4.484013942,-3.934767858,-2.350014233,-1.41038253,-1.724085874,
uw10697073,TA.F03A,,,,-2.219153753,-1.129475614,-0.865696546,-0.452943801,0.047865679,0.727882493,0.648548998,0.4383786
uw10697073,TA.F04A,,-3.278795325,-4.117507097,-4.508716828,-3.120325404,-2.12255855,-2.116421574,-0.494196859,-0.298082226,0.426266498,-0.271460781
uw10697073,TA.G03A,,,-3.403337065,-3.184002013,-2.470782351,-1.764897343,-1.623353229,-0.025541278,-0.228736044,0.983524288,
uw10697073,TA.H04A,,,,-1.971295063,-1.39798107,-1.22728711,-1.337548353,-1.209724243,-0.619400365,0.218829136,
uw10697073,US.NLWA,,,,-3.311910441,-3.041965904,-2.383341197,-2.701442901,-0.867366156,-1.127690407,-1.077624479,
uw10697073,UW.LON,,,,-3.735387897,-3.334614202,-2.527396573,-3.282795633,-1.320786086,-1.101187803,-1.005638303,-1.941801264
uw10697073,XC.OR009,,,,-2.096736792,-1.681619017,-1.522035133,-1.400858346,-0.764218111,-0.110595104,-0.0070486,
uw10697073,XU.E050,,-2.024712331,-2.838814135,-3.749455666,-3.094641403,-3.565641743,-3.064863791,-1.76459716,-1.001041598,-0.729780844,-1.636067239
